,AP Biology interest (scaled),Biology interest (scaled)
0,0.4915254237288135,0.84
1,0.3220338983050847,0.9333333333333335
2,0.3220338983050847,0.7866666666666667
3,0.4915254237288135,0.8133333333333334
4,0.6610169491525424,0.7866666666666667
5,0.15254237288135591,0.5733333333333334
6,0.15254237288135591,0.3866666666666667
7,0.15254237288135591,0.5466666666666666
8,0.4915254237288135,1.0
9,0.4915254237288135,0.84
10,0.4915254237288135,0.7600000000000001
11,0.3220338983050847,0.56
12,0.4915254237288135,0.7066666666666667
13,0.3220338983050847,0.7466666666666667
14,0.4915254237288135,0.6666666666666666
15,0.6610169491525424,0.7066666666666667
16,0.4915254237288135,0.6
17,0.15254237288135591,0.44000000000000006
18,0.15254237288135591,0.28
19,0.15254237288135591,0.42666666666666664
20,0.3220338983050847,0.84
21,0.4915254237288135,0.7333333333333333
22,0.3220338983050847,0.6133333333333334
23,0.3220338983050847,0.42666666666666664
24,0.4915254237288135,0.5733333333333334
25,0.3220338983050847,0.5866666666666667
26,0.4915254237288135,0.5733333333333334
27,0.6610169491525424,0.52
28,0.4915254237288135,0.5066666666666667
29,0.15254237288135591,0.29333333333333333
30,0.15254237288135591,0.14666666666666667
31,0.15254237288135591,0.3466666666666667
32,0.3220338983050847,0.6133333333333334
33,0.4915254237288135,0.5333333333333333
34,0.3220338983050847,0.4933333333333334
35,0.3220338983050847,0.31999999999999995
36,0.4915254237288135,0.45333333333333337
37,0.4915254237288135,0.44000000000000006
38,0.4915254237288135,0.4
39,0.4915254237288135,0.4
40,0.6610169491525424,0.41333333333333333
41,0.15254237288135591,0.21333333333333337
42,0.0,0.14666666666666667
43,0.15254237288135591,0.31999999999999995
44,0.3220338983050847,0.5866666666666667
45,0.4915254237288135,0.5333333333333333
46,0.4915254237288135,0.44000000000000006
47,0.3220338983050847,0.30666666666666664
48,0.3220338983050847,0.41333333333333333
49,0.3220338983050847,0.41333333333333333
50,0.3220338983050847,0.3866666666666667
51,0.4915254237288135,0.4666666666666667
52,0.4915254237288135,0.36
53,0.15254237288135591,0.19999999999999996
54,0.15254237288135591,0.1333333333333333
55,0.15254237288135591,0.28
56,0.3220338983050847,0.5866666666666667
57,0.4915254237288135,0.48
58,0.3220338983050847,0.42666666666666664
59,0.3220338983050847,0.30666666666666664
60,0.3220338983050847,0.42666666666666664
61,0.3220338983050847,0.48
62,0.4915254237288135,0.4666666666666667
63,0.4915254237288135,0.4666666666666667
64,0.6610169491525424,0.42666666666666664
65,0.15254237288135591,0.28
66,0.15254237288135591,0.18666666666666665
67,0.15254237288135591,0.3466666666666667
68,0.4915254237288135,0.6533333333333333
69,0.4915254237288135,0.5333333333333333
70,0.4915254237288135,0.48
71,0.3220338983050847,0.33333333333333337
72,0.4915254237288135,0.42666666666666664
73,0.3220338983050847,0.4933333333333334
74,0.4915254237288135,0.48
75,0.6610169491525424,0.5066666666666667
76,0.6610169491525424,0.44000000000000006
77,0.15254237288135591,0.2533333333333333
78,0.15254237288135591,0.12
79,0.15254237288135591,0.30666666666666664
80,0.3220338983050847,0.52
81,0.4915254237288135,0.45333333333333337
82,0.4915254237288135,0.41333333333333333
83,0.3220338983050847,0.2533333333333333
84,0.4915254237288135,0.3466666666666667
85,0.4915254237288135,0.36
86,0.4915254237288135,0.31999999999999995
87,0.6610169491525424,0.3466666666666667
88,0.6610169491525424,0.30666666666666664
89,0.15254237288135591,0.14666666666666667
90,0.15254237288135591,0.03999999999999998
91,0.15254237288135591,0.22666666666666668
92,0.4915254237288135,0.48
93,0.4915254237288135,0.44000000000000006
94,0.4915254237288135,0.36
95,0.4915254237288135,0.22666666666666668
96,0.4915254237288135,0.36
97,0.4915254237288135,0.3466666666666667
98,0.4915254237288135,0.31999999999999995
99,0.6610169491525424,0.36
100,0.8305084745762712,0.33333333333333337
101,0.15254237288135591,0.10666666666666663
102,0.15254237288135591,0.03999999999999998
103,0.3220338983050847,0.22666666666666668
104,0.4915254237288135,0.4933333333333334
105,0.4915254237288135,0.41333333333333333
106,0.4915254237288135,0.31999999999999995
107,0.4915254237288135,0.19999999999999996
108,0.4915254237288135,0.33333333333333337
109,0.4915254237288135,0.3733333333333333
110,0.4915254237288135,0.31999999999999995
111,0.6610169491525424,0.42666666666666664
112,0.8305084745762712,0.36
113,0.15254237288135591,0.10666666666666663
114,0.15254237288135591,0.026666666666666672
115,0.3220338983050847,0.24
116,0.4915254237288135,0.5466666666666666
117,0.4915254237288135,0.5066666666666667
118,0.4915254237288135,0.4
119,0.4915254237288135,0.2666666666666667
120,0.4915254237288135,0.3866666666666667
121,0.4915254237288135,0.42666666666666664
122,0.6610169491525424,0.4
123,0.6610169491525424,0.4933333333333334
124,0.8305084745762712,0.44000000000000006
125,0.15254237288135591,0.14666666666666667
126,0.15254237288135591,0.053333333333333344
127,0.3220338983050847,0.29333333333333333
128,0.4915254237288135,0.68
129,0.6610169491525424,0.6
130,0.4915254237288135,0.45333333333333337
131,0.4915254237288135,0.3466666666666667
132,0.4915254237288135,0.45333333333333337
133,0.4915254237288135,0.4933333333333334
134,0.6610169491525424,0.4666666666666667
135,0.6610169491525424,0.5333333333333333
136,0.8305084745762712,0.44000000000000006
137,0.15254237288135591,0.14666666666666667
138,0.15254237288135591,0.053333333333333344
139,0.3220338983050847,0.29333333333333333
140,0.6610169491525424,0.68
141,0.6610169491525424,0.5866666666666667
142,0.6610169491525424,0.5066666666666667
143,0.4915254237288135,0.3866666666666667
144,0.6610169491525424,0.44000000000000006
145,0.6610169491525424,0.4933333333333334
146,0.6610169491525424,0.42666666666666664
147,0.8305084745762712,0.52
148,0.8305084745762712,0.44000000000000006
149,0.15254237288135591,0.10666666666666663
150,0.15254237288135591,0.0
151,0.3220338983050847,0.2666666666666667
152,0.4915254237288135,0.6266666666666667
153,0.6610169491525424,0.4933333333333334
154,0.4915254237288135,0.41333333333333333
155,0.4915254237288135,0.31999999999999995
156,0.6610169491525424,0.4666666666666667
157,0.6610169491525424,0.52
158,0.6610169491525424,0.52
159,0.8305084745762712,0.5066666666666667
160,0.8305084745762712,0.45333333333333337
161,0.15254237288135591,0.10666666666666663
162,0.15254237288135591,0.013333333333333308
163,0.3220338983050847,0.24
164,0.4915254237288135,0.5733333333333334
165,0.4915254237288135,0.5466666666666666
166,0.4915254237288135,0.4666666666666667
167,0.4915254237288135,0.31999999999999995
168,0.4915254237288135,0.44000000000000006
169,0.6610169491525424,0.48
170,0.6610169491525424,0.41333333333333333
171,0.6610169491525424,0.4933333333333334
172,1.0,0.44000000000000006
173,0.15254237288135591,0.08000000000000002
174,0.15254237288135591,0.0
175,0.3220338983050847,0.2666666666666667
176,0.4915254237288135,0.5466666666666666
177,0.4915254237288135,0.52
178,0.4915254237288135,0.3866666666666667
179,0.4915254237288135,0.29333333333333333
180,0.4915254237288135,0.36
181,0.4915254237288135,0.42666666666666664
182,0.4915254237288135,0.3733333333333333
183,0.6610169491525424,0.42666666666666664
184,0.8305084745762712,0.4
185,0.15254237288135591,0.06666666666666665
186,0.15254237288135591,0.0
187,0.15254237288135591,0.21333333333333337
188,0.4915254237288135,0.5333333333333333
189,0.4915254237288135,0.45333333333333337
190,0.3220338983050847,0.31999999999999995
191,0.3220338983050847,0.21333333333333337
192,0.3220338983050847,0.3466666666666667
193,0.3220338983050847,0.4
194,0.15254237288135591,0.14666666666666667
