,AP Physics interest (scaled),Physics interest (scaled)
0,0.18367346938775508,0.9620253164556961
1,0.18367346938775508,1.0
2,0.18367346938775508,0.8860759493670886
3,0.38775510204081626,0.9113924050632912
4,0.38775510204081626,0.8860759493670886
5,0.0,0.620253164556962
6,0.0,0.45569620253164556
7,0.0,0.5569620253164557
8,0.18367346938775508,0.9620253164556961
9,0.18367346938775508,0.9746835443037974
10,0.18367346938775508,0.8987341772151899
11,0.18367346938775508,0.7594936708860759
12,0.18367346938775508,0.7974683544303797
13,0.18367346938775508,0.8987341772151899
14,0.18367346938775508,0.7468354430379748
15,0.38775510204081626,0.7721518987341772
16,0.38775510204081626,0.7848101265822786
17,0.0,0.5569620253164557
18,0.0,0.3670886075949368
19,0.18367346938775508,0.49367088607594933
20,0.18367346938775508,0.8481012658227848
21,0.18367346938775508,0.810126582278481
22,0.18367346938775508,0.7341772151898734
23,0.18367346938775508,0.5822784810126582
24,0.18367346938775508,0.7088607594936709
25,0.18367346938775508,0.7341772151898734
26,0.18367346938775508,0.6708860759493671
27,0.38775510204081626,0.5949367088607596
28,0.38775510204081626,0.6455696202531646
29,0.0,0.379746835443038
30,0.0,0.25316455696202533
31,0.0,0.379746835443038
32,0.18367346938775508,0.6962025316455697
33,0.18367346938775508,0.6582278481012659
34,0.18367346938775508,0.569620253164557
35,0.18367346938775508,0.4810126582278481
36,0.18367346938775508,0.5443037974683544
37,0.18367346938775508,0.5443037974683544
38,0.18367346938775508,0.49367088607594933
39,0.18367346938775508,0.4810126582278481
40,0.38775510204081626,0.5189873417721519
41,0.0,0.31645569620253167
42,0.0,0.22784810126582278
43,0.0,0.3417721518987342
44,0.18367346938775508,0.6455696202531646
45,0.18367346938775508,0.6582278481012659
46,0.18367346938775508,0.5569620253164557
47,0.18367346938775508,0.4683544303797469
48,0.18367346938775508,0.5569620253164557
49,0.18367346938775508,0.5822784810126582
50,0.18367346938775508,0.5063291139240507
51,0.38775510204081626,0.5949367088607596
52,0.38775510204081626,0.5316455696202532
53,0.0,0.3670886075949368
54,0.0,0.25316455696202533
55,0.0,0.3924050632911392
56,0.18367346938775508,0.7468354430379748
57,0.18367346938775508,0.6962025316455697
58,0.18367346938775508,0.6455696202531646
59,0.18367346938775508,0.4810126582278481
60,0.18367346938775508,0.5822784810126582
61,0.18367346938775508,0.6835443037974683
62,0.18367346938775508,0.6582278481012659
63,0.38775510204081626,0.6708860759493671
64,0.38775510204081626,0.6455696202531646
65,0.0,0.45569620253164556
66,0.0,0.31645569620253167
67,0.0,0.49367088607594933
68,0.18367346938775508,0.8987341772151899
69,0.18367346938775508,0.8987341772151899
70,0.18367346938775508,0.8354430379746834
71,0.18367346938775508,0.6455696202531646
72,0.18367346938775508,0.7341772151898734
73,0.18367346938775508,0.8860759493670886
74,0.18367346938775508,0.8607594936708861
75,0.38775510204081626,0.8734177215189874
76,0.38775510204081626,0.8860759493670886
77,0.0,0.569620253164557
78,0.0,0.31645569620253167
79,0.0,0.49367088607594933
80,0.18367346938775508,0.8860759493670886
81,0.18367346938775508,0.8987341772151899
82,0.18367346938775508,0.8607594936708861
83,0.18367346938775508,0.6455696202531646
84,0.18367346938775508,0.6329113924050633
85,0.18367346938775508,0.6582278481012659
86,0.18367346938775508,0.6329113924050633
87,0.38775510204081626,0.6455696202531646
88,0.38775510204081626,0.6455696202531646
89,0.0,0.35443037974683544
90,0.0,0.20253164556962028
91,0.18367346938775508,0.35443037974683544
92,0.18367346938775508,0.7215189873417721
93,0.18367346938775508,0.6582278481012659
94,0.18367346938775508,0.5822784810126582
95,0.18367346938775508,0.45569620253164556
96,0.18367346938775508,0.5443037974683544
97,0.18367346938775508,0.5949367088607596
98,0.18367346938775508,0.5316455696202532
99,0.38775510204081626,0.5316455696202532
100,0.5918367346938774,0.5189873417721519
101,0.0,0.25316455696202533
102,0.0,0.15189873417721522
103,0.18367346938775508,0.30379746835443044
104,0.18367346938775508,0.6455696202531646
105,0.18367346938775508,0.5949367088607596
106,0.18367346938775508,0.4810126582278481
107,0.18367346938775508,0.3924050632911392
108,0.38775510204081626,0.4810126582278481
109,0.18367346938775508,0.5316455696202532
110,0.18367346938775508,0.45569620253164556
111,0.5918367346938774,0.5443037974683544
112,0.5918367346938774,0.49367088607594933
113,0.0,0.21518987341772156
114,0.0,0.11392405063291139
115,0.18367346938775508,0.26582278481012656
116,0.18367346938775508,0.6708860759493671
117,0.18367346938775508,0.6582278481012659
118,0.18367346938775508,0.5063291139240507
119,0.18367346938775508,0.3924050632911392
120,0.38775510204081626,0.49367088607594933
121,0.38775510204081626,0.5569620253164557
122,0.38775510204081626,0.4810126582278481
123,0.5918367346938774,0.5569620253164557
124,0.7959183673469387,0.5189873417721519
125,0.18367346938775508,0.25316455696202533
126,0.0,0.12658227848101267
127,0.18367346938775508,0.30379746835443044
128,0.38775510204081626,0.7468354430379748
129,0.38775510204081626,0.6708860759493671
130,0.18367346938775508,0.5443037974683544
131,0.38775510204081626,0.44303797468354433
132,0.38775510204081626,0.5443037974683544
133,0.38775510204081626,0.6075949367088608
134,0.38775510204081626,0.5443037974683544
135,0.5918367346938774,0.5949367088607596
136,0.5918367346938774,0.5189873417721519
137,0.18367346938775508,0.2405063291139241
138,0.18367346938775508,0.10126582278481017
139,0.18367346938775508,0.2784810126582279
140,0.38775510204081626,0.7341772151898734
141,0.38775510204081626,0.6708860759493671
142,0.38775510204081626,0.5569620253164557
143,0.38775510204081626,0.45569620253164556
144,0.38775510204081626,0.45569620253164556
145,0.38775510204081626,0.5443037974683544
146,0.38775510204081626,0.44303797468354433
147,0.7959183673469387,0.49367088607594933
148,0.5918367346938774,0.430379746835443
149,0.0,0.15189873417721522
150,0.0,0.025316455696202556
151,0.18367346938775508,0.22784810126582278
152,0.38775510204081626,0.5822784810126582
153,0.18367346938775508,0.5063291139240507
154,0.18367346938775508,0.40506329113924056
155,0.38775510204081626,0.31645569620253167
156,0.38775510204081626,0.4177215189873418
157,0.38775510204081626,0.4683544303797469
158,0.38775510204081626,0.4177215189873418
159,0.7959183673469387,0.4177215189873418
160,0.7959183673469387,0.3924050632911392
161,0.0,0.11392405063291139
162,0.18367346938775508,0.025316455696202556
163,0.18367346938775508,0.189873417721519
164,0.38775510204081626,0.49367088607594933
165,0.38775510204081626,0.5063291139240507
166,0.38775510204081626,0.379746835443038
167,0.38775510204081626,0.2911392405063291
168,0.38775510204081626,0.35443037974683544
169,0.38775510204081626,0.3924050632911392
170,0.38775510204081626,0.3291139240506329
171,0.5918367346938774,0.3670886075949368
172,0.9999999999999998,0.379746835443038
173,0.18367346938775508,0.08860759493670889
174,0.0,0.0
175,0.18367346938775508,0.20253164556962028
176,0.38775510204081626,0.4683544303797469
177,0.38775510204081626,0.45569620253164556
178,0.18367346938775508,0.31645569620253167
179,0.38775510204081626,0.25316455696202533
180,0.38775510204081626,0.30379746835443044
181,0.38775510204081626,0.3417721518987342
182,0.38775510204081626,0.2784810126582279
183,0.5918367346938774,0.3291139240506329
184,0.7959183673469387,0.3291139240506329
185,0.0,0.06329113924050633
186,0.18367346938775508,0.0
187,0.18367346938775508,0.1645569620253165
188,0.38775510204081626,0.44303797468354433
189,0.38775510204081626,0.3924050632911392
190,0.18367346938775508,0.2784810126582279
191,0.18367346938775508,0.20253164556962028
192,0.18367346938775508,0.26582278481012656
193,0.38775510204081626,0.30379746835443044
194,0.18367346938775508,0.11392405063291139
