,AP USHis interest (scaled),USHis interest (scaled)
0,0.30000000000000004,0.7402597402597404
1,0.30000000000000004,0.8831168831168832
2,0.35,0.7402597402597404
3,0.4375,1.0
4,0.42500000000000004,0.8831168831168832
5,0.05,0.5194805194805194
6,0.0,0.24675324675324678
7,0.11250000000000002,0.3636363636363636
8,0.2875,0.8701298701298703
9,0.32500000000000007,0.7532467532467533
10,0.3375,0.8831168831168832
11,0.26250000000000007,0.6233766233766234
12,0.3375,0.6753246753246753
13,0.3375,0.7402597402597404
14,0.30000000000000004,0.6493506493506493
15,0.4625,0.8701298701298703
16,0.38750000000000007,0.8051948051948052
17,0.037500000000000006,0.41558441558441556
18,0.024999999999999994,0.16883116883116883
19,0.075,0.24675324675324678
20,0.225,0.6883116883116884
21,0.1875,0.5974025974025974
22,0.2125,0.6233766233766234
23,0.17500000000000002,0.3896103896103896
24,0.225,0.5064935064935066
25,0.1875,0.5454545454545454
26,0.2125,0.4805194805194805
27,0.30000000000000004,0.5974025974025974
28,0.2875,0.6103896103896105
29,0.024999999999999994,0.31168831168831174
30,0.012499999999999997,0.09090909090909088
31,0.075,0.15584415584415584
32,0.1625,0.40259740259740256
33,0.1875,0.42857142857142855
34,0.1625,0.3766233766233766
35,0.15,0.25974025974025977
36,0.1875,0.3506493506493506
37,0.15,0.31168831168831174
38,0.1625,0.3246753246753246
39,0.2,0.3636363636363636
40,0.3375,0.5454545454545454
41,0.012499999999999997,0.2337662337662338
42,0.012499999999999997,0.03896103896103892
43,0.037500000000000006,0.11688311688311687
44,0.15,0.3896103896103896
45,0.1625,0.3636363636363636
46,0.1625,0.3376623376623376
47,0.15,0.24675324675324678
48,0.1875,0.3376623376623376
49,0.1625,0.3506493506493506
50,0.15,0.31168831168831174
51,0.23750000000000002,0.42857142857142855
52,0.35,0.5194805194805194
53,0.024999999999999994,0.27272727272727276
54,0.0,0.05194805194805191
55,0.05,0.14285714285714285
56,0.1625,0.3896103896103896
57,0.15,0.42857142857142855
58,0.1375,0.42857142857142855
59,0.125,0.27272727272727276
60,0.1875,0.3766233766233766
61,0.17500000000000002,0.3766233766233766
62,0.1625,0.3376623376623376
63,0.23750000000000002,0.41558441558441556
64,0.35,0.5194805194805194
65,0.024999999999999994,0.3246753246753246
66,0.012499999999999997,0.025974025974025927
67,0.0625,0.12987012987012986
68,0.1875,0.3896103896103896
69,0.2,0.3896103896103896
70,0.2125,0.3896103896103896
71,0.15,0.28571428571428575
72,0.2,0.3506493506493506
73,0.17500000000000002,0.3636363636363636
74,0.2,0.3636363636363636
75,0.26250000000000007,0.5064935064935066
76,0.32500000000000007,0.6103896103896105
77,0.012499999999999997,0.31168831168831174
78,0.012499999999999997,0.012987012987012936
79,0.05,0.09090909090909088
80,0.1375,0.27272727272727276
81,0.15,0.25974025974025977
82,0.1375,0.24675324675324678
83,0.125,0.18181818181818182
84,0.2125,0.31168831168831174
85,0.2,0.28571428571428575
86,0.225,0.29870129870129875
87,0.3125,0.41558441558441556
88,0.35,0.5454545454545454
89,0.024999999999999994,0.28571428571428575
90,0.024999999999999994,0.0649350649350649
91,0.075,0.2077922077922078
92,0.2,0.3506493506493506
93,0.225,0.3246753246753246
94,0.2125,0.28571428571428575
95,0.1625,0.19480519480519481
96,0.25,0.28571428571428575
97,0.23750000000000002,0.28571428571428575
98,0.26250000000000007,0.29870129870129875
99,0.2875,0.3506493506493506
100,0.4375,0.5324675324675325
101,0.024999999999999994,0.24675324675324678
102,0.024999999999999994,0.07792207792207789
103,0.1,0.18181818181818182
104,0.2875,0.41558441558441556
105,0.30000000000000004,0.3636363636363636
106,0.2875,0.3896103896103896
107,0.275,0.29870129870129875
108,0.375,0.31168831168831174
109,0.4125,0.29870129870129875
110,0.4125,0.27272727272727276
111,0.5125000000000001,0.40259740259740256
112,0.6375000000000001,0.5844155844155845
113,0.0625,0.2337662337662338
114,0.037500000000000006,0.012987012987012936
115,0.1625,0.15584415584415584
116,0.4375,0.40259740259740256
117,0.525,0.42857142857142855
118,0.5125000000000001,0.3246753246753246
119,0.48750000000000004,0.24675324675324678
120,0.6250000000000001,0.31168831168831174
121,0.6875000000000001,0.3246753246753246
122,0.7375,0.29870129870129875
123,0.8500000000000001,0.3896103896103896
124,0.9125000000000001,0.5844155844155845
125,0.1375,0.3376623376623376
126,0.075,0.05194805194805191
127,0.2125,0.18181818181818182
128,0.5375000000000001,0.45454545454545453
129,0.6125,0.41558441558441556
130,0.55,0.3246753246753246
131,0.5375000000000001,0.28571428571428575
132,0.6250000000000001,0.3506493506493506
133,0.7375,0.3506493506493506
134,0.7500000000000001,0.3246753246753246
135,0.8625,0.41558441558441556
136,0.7125,0.5714285714285714
137,0.1375,0.31168831168831174
138,0.0875,0.05194805194805191
139,0.25,0.19480519480519481
140,0.55,0.4805194805194805
141,0.6250000000000001,0.41558441558441556
142,0.6375000000000001,0.3896103896103896
143,0.5625000000000001,0.29870129870129875
144,0.7125,0.31168831168831174
145,0.8,0.3246753246753246
146,0.7625000000000001,0.29870129870129875
147,1.0,0.41558441558441556
148,0.7875000000000001,0.5194805194805194
149,0.11250000000000002,0.31168831168831174
150,0.075,0.012987012987012936
151,0.26250000000000007,0.2077922077922078
152,0.65,0.41558441558441556
153,0.675,0.3896103896103896
154,0.65,0.40259740259740256
155,0.6125,0.29870129870129875
156,0.7625000000000001,0.40259740259740256
157,0.8125000000000001,0.40259740259740256
158,0.8625,0.3636363636363636
159,0.9875000000000002,0.41558441558441556
160,0.8375,0.5324675324675325
161,0.1,0.18181818181818182
162,0.075,0.0
163,0.26250000000000007,0.2207792207792208
164,0.5750000000000001,0.5194805194805194
165,0.6625000000000001,0.5584415584415585
166,0.6250000000000001,0.3766233766233766
167,0.5625000000000001,0.3246753246753246
168,0.6375000000000001,0.3636363636363636
169,0.7500000000000001,0.44155844155844154
170,0.675,0.3376623376623376
171,0.8125000000000001,0.42857142857142855
172,0.925,0.5454545454545454
173,0.0875,0.2077922077922078
174,0.0625,0.025974025974025927
175,0.26250000000000007,0.2207792207792208
176,0.55,0.45454545454545453
177,0.6125,0.4675324675324675
178,0.55,0.3896103896103896
179,0.525,0.31168831168831174
180,0.5875,0.3896103896103896
181,0.65,0.3766233766233766
182,0.6000000000000001,0.3376623376623376
183,0.7375,0.3766233766233766
184,0.7875000000000001,0.5064935064935066
185,0.0625,0.19480519480519481
186,0.037500000000000006,0.025974025974025927
187,0.2125,0.2077922077922078
188,0.4625,0.42857142857142855
189,0.4625,0.3636363636363636
190,0.42500000000000004,0.28571428571428575
191,0.375,0.24675324675324678
192,0.45000000000000007,0.3376623376623376
193,0.48750000000000004,0.3376623376623376
194,0.45000000000000007,0.24675324675324678
